Start training epoch:0 @Thu Jan  2 23:35:35 2020
Epoch: [0][0/794], lr: 0.00200	Time 13.345 (13.345)	Data 1.710 (1.710)	Loss 4.6027 (4.6027)	Prec@1 8.333 (8.333)	Prec@5 16.667 (16.667)
Epoch: [0][10/794], lr: 0.00200	Time 3.309 (8.327)	Data 2.977 (1.556)	Loss 4.6333 (4.6318)	Prec@1 0.000 (0.758)	Prec@5 8.333 (5.303)
Epoch: [0][20/794], lr: 0.00200	Time 3.155 (6.603)	Data 2.829 (1.487)	Loss 4.6951 (4.6323)	Prec@1 8.333 (1.587)	Prec@5 16.667 (6.349)
Epoch: [0][30/794], lr: 0.00200	Time 3.163 (5.743)	Data 2.841 (1.465)	Loss 5.0517 (4.6708)	Prec@1 0.000 (1.344)	Prec@5 0.000 (6.183)
Epoch: [0][40/794], lr: 0.00200	Time 3.174 (5.229)	Data 2.846 (1.453)	Loss 5.0294 (4.7128)	Prec@1 0.000 (1.626)	Prec@5 0.000 (6.707)
Epoch: [0][50/794], lr: 0.00200	Time 3.196 (4.890)	Data 2.867 (1.449)	Loss 5.3564 (4.7875)	Prec@1 8.333 (2.288)	Prec@5 8.333 (7.190)
Epoch: [0][60/794], lr: 0.00200	Time 3.206 (4.650)	Data 2.874 (1.447)	Loss 5.0372 (4.8042)	Prec@1 8.333 (2.459)	Prec@5 16.667 (7.377)
Epoch: [0][70/794], lr: 0.00200	Time 3.220 (4.471)	Data 2.884 (1.446)	Loss 4.8262 (4.8073)	Prec@1 0.000 (2.582)	Prec@5 0.000 (7.746)
Epoch: [0][80/794], lr: 0.00200	Time 3.245 (4.335)	Data 2.911 (1.446)	Loss 4.8398 (4.7962)	Prec@1 0.000 (2.366)	Prec@5 8.333 (7.922)
Epoch: [0][90/794], lr: 0.00200	Time 3.213 (4.223)	Data 2.883 (1.446)	Loss 5.0045 (4.7765)	Prec@1 0.000 (2.381)	Prec@5 8.333 (8.516)
Epoch: [0][100/794], lr: 0.00200	Time 3.215 (4.131)	Data 2.887 (1.445)	Loss 4.8763 (4.7693)	Prec@1 0.000 (2.393)	Prec@5 25.000 (8.911)
Epoch: [0][110/794], lr: 0.00200	Time 3.223 (4.055)	Data 2.885 (1.445)	Loss 4.8630 (4.7710)	Prec@1 0.000 (2.778)	Prec@5 16.667 (9.384)
Epoch: [0][120/794], lr: 0.00200	Time 3.210 (3.990)	Data 2.879 (1.444)	Loss 4.9664 (4.7753)	Prec@1 0.000 (2.824)	Prec@5 0.000 (9.160)
Epoch: [0][130/794], lr: 0.00200	Time 3.224 (3.936)	Data 2.887 (1.444)	Loss 4.5462 (4.7746)	Prec@1 0.000 (2.672)	Prec@5 8.333 (9.860)
Epoch: [0][140/794], lr: 0.00200	Time 3.210 (3.887)	Data 2.880 (1.443)	Loss 4.6982 (4.7386)	Prec@1 16.667 (3.664)	Prec@5 33.333 (11.407)
Epoch: [0][150/794], lr: 0.00200	Time 3.224 (3.846)	Data 2.895 (1.444)	Loss 4.1399 (4.7219)	Prec@1 16.667 (4.084)	Prec@5 33.333 (12.086)
Epoch: [0][160/794], lr: 0.00200	Time 3.239 (3.810)	Data 2.904 (1.444)	Loss 4.1102 (4.6778)	Prec@1 8.333 (4.607)	Prec@5 33.333 (13.302)
Epoch: [0][170/794], lr: 0.00200	Time 3.227 (3.778)	Data 2.892 (1.444)	Loss 4.2111 (4.6520)	Prec@1 16.667 (5.263)	Prec@5 33.333 (14.620)
Epoch: [0][180/794], lr: 0.00200	Time 3.220 (3.748)	Data 2.889 (1.444)	Loss 4.8683 (4.6308)	Prec@1 0.000 (5.709)	Prec@5 0.000 (15.101)
Epoch: [0][190/794], lr: 0.00200	Time 3.414 (3.732)	Data 3.072 (1.446)	Loss 4.6952 (4.6111)	Prec@1 0.000 (5.716)	Prec@5 16.667 (15.576)
Epoch: [0][200/794], lr: 0.00200	Time 3.329 (3.713)	Data 2.987 (1.449)	Loss 3.3593 (4.5841)	Prec@1 33.333 (6.177)	Prec@5 66.667 (16.501)
Epoch: [0][210/794], lr: 0.00200	Time 3.237 (3.691)	Data 2.906 (1.449)	Loss 4.5605 (4.5519)	Prec@1 0.000 (6.438)	Prec@5 16.667 (17.496)
Epoch: [0][220/794], lr: 0.00200	Time 3.224 (3.671)	Data 2.891 (1.449)	Loss 4.1036 (4.5066)	Prec@1 25.000 (7.164)	Prec@5 25.000 (18.590)
Epoch: [0][230/794], lr: 0.00200	Time 3.219 (3.652)	Data 2.888 (1.448)	Loss 3.5162 (4.4841)	Prec@1 8.333 (7.215)	Prec@5 25.000 (18.975)
Epoch: [0][240/794], lr: 0.00200	Time 3.216 (3.634)	Data 2.885 (1.448)	Loss 3.5871 (4.4505)	Prec@1 16.667 (7.538)	Prec@5 41.667 (19.882)
Epoch: [0][250/794], lr: 0.00200	Time 3.227 (3.619)	Data 2.891 (1.447)	Loss 2.2863 (4.4102)	Prec@1 41.667 (8.001)	Prec@5 75.000 (20.983)
Epoch: [0][260/794], lr: 0.00200	Time 3.223 (3.604)	Data 2.893 (1.448)	Loss 3.8956 (4.3814)	Prec@1 16.667 (8.397)	Prec@5 41.667 (21.743)
Epoch: [0][270/794], lr: 0.00200	Time 3.238 (3.591)	Data 2.907 (1.448)	Loss 3.0312 (4.3458)	Prec@1 33.333 (8.733)	Prec@5 58.333 (22.478)
Epoch: [0][280/794], lr: 0.00200	Time 3.270 (3.580)	Data 2.935 (1.448)	Loss 3.4244 (4.3099)	Prec@1 25.000 (9.223)	Prec@5 50.000 (23.458)
Epoch: [0][290/794], lr: 0.00200	Time 3.222 (3.568)	Data 2.891 (1.448)	Loss 2.8860 (4.2667)	Prec@1 25.000 (9.908)	Prec@5 50.000 (24.513)
Epoch: [0][300/794], lr: 0.00200	Time 3.255 (3.558)	Data 2.895 (1.448)	Loss 3.4576 (4.2267)	Prec@1 16.667 (10.548)	Prec@5 50.000 (25.305)
Epoch: [0][310/794], lr: 0.00200	Time 3.245 (3.548)	Data 2.917 (1.448)	Loss 2.4563 (4.1939)	Prec@1 50.000 (11.227)	Prec@5 75.000 (26.045)
Epoch: [0][320/794], lr: 0.00200	Time 3.217 (3.538)	Data 2.887 (1.448)	Loss 4.0893 (4.1675)	Prec@1 16.667 (11.630)	Prec@5 25.000 (26.687)
Epoch: [0][330/794], lr: 0.00200	Time 3.229 (3.529)	Data 2.893 (1.448)	Loss 2.9735 (4.1414)	Prec@1 25.000 (11.959)	Prec@5 50.000 (27.417)
Epoch: [0][340/794], lr: 0.00200	Time 3.226 (3.520)	Data 2.895 (1.447)	Loss 3.0269 (4.1134)	Prec@1 33.333 (12.317)	Prec@5 50.000 (27.884)
Epoch: [0][350/794], lr: 0.00200	Time 3.243 (3.513)	Data 2.913 (1.448)	Loss 2.8423 (4.0845)	Prec@1 33.333 (12.892)	Prec@5 50.000 (28.490)
Epoch: [0][360/794], lr: 0.00200	Time 3.246 (3.505)	Data 2.915 (1.448)	Loss 3.2306 (4.0544)	Prec@1 16.667 (13.343)	Prec@5 58.333 (29.294)
Epoch: [0][370/794], lr: 0.00200	Time 3.262 (3.499)	Data 2.925 (1.448)	Loss 3.2203 (4.0277)	Prec@1 25.000 (13.747)	Prec@5 58.333 (29.964)
Epoch: [0][380/794], lr: 0.00200	Time 3.249 (3.493)	Data 2.912 (1.448)	Loss 2.6878 (4.0006)	Prec@1 25.000 (14.173)	Prec@5 66.667 (30.687)
Epoch: [0][390/794], lr: 0.00200	Time 3.246 (3.486)	Data 2.911 (1.448)	Loss 3.0151 (3.9779)	Prec@1 33.333 (14.557)	Prec@5 50.000 (31.415)
Epoch: [0][400/794], lr: 0.00200	Time 3.254 (3.481)	Data 2.924 (1.449)	Loss 3.1688 (3.9506)	Prec@1 50.000 (15.025)	Prec@5 50.000 (32.170)
Epoch: [0][410/794], lr: 0.00200	Time 3.238 (3.475)	Data 2.897 (1.448)	Loss 2.1290 (3.9170)	Prec@1 50.000 (15.612)	Prec@5 58.333 (32.928)
Epoch: [0][420/794], lr: 0.00200	Time 3.248 (3.470)	Data 2.918 (1.449)	Loss 2.9581 (3.8819)	Prec@1 33.333 (16.271)	Prec@5 50.000 (33.808)
Epoch: [0][430/794], lr: 0.00200	Time 3.263 (3.465)	Data 2.932 (1.449)	Loss 2.3467 (3.8549)	Prec@1 66.667 (16.686)	Prec@5 83.333 (34.474)
Epoch: [0][440/794], lr: 0.00200	Time 3.253 (3.460)	Data 2.922 (1.449)	Loss 3.0232 (3.8325)	Prec@1 25.000 (17.063)	Prec@5 58.333 (35.072)
Epoch: [0][450/794], lr: 0.00200	Time 3.255 (3.456)	Data 2.912 (1.449)	Loss 3.9165 (3.8063)	Prec@1 8.333 (17.387)	Prec@5 25.000 (35.735)
Epoch: [0][460/794], lr: 0.00200	Time 3.247 (3.451)	Data 2.910 (1.449)	Loss 1.7613 (3.7769)	Prec@1 66.667 (17.950)	Prec@5 83.333 (36.443)
Epoch: [0][470/794], lr: 0.00200	Time 3.255 (3.447)	Data 2.922 (1.450)	Loss 1.9389 (3.7479)	Prec@1 50.000 (18.436)	Prec@5 75.000 (37.208)
Epoch: [0][480/794], lr: 0.00200	Time 3.248 (3.443)	Data 2.919 (1.450)	Loss 2.7840 (3.7274)	Prec@1 33.333 (18.780)	Prec@5 58.333 (37.665)
Epoch: [0][490/794], lr: 0.00200	Time 3.251 (3.439)	Data 2.911 (1.450)	Loss 2.4212 (3.7058)	Prec@1 41.667 (19.145)	Prec@5 75.000 (38.170)
Epoch: [0][500/794], lr: 0.00200	Time 3.246 (3.436)	Data 2.915 (1.450)	Loss 2.5874 (3.6835)	Prec@1 41.667 (19.494)	Prec@5 75.000 (38.706)
Epoch: [0][510/794], lr: 0.00200	Time 3.241 (3.432)	Data 2.910 (1.450)	Loss 2.1756 (3.6543)	Prec@1 16.667 (19.863)	Prec@5 91.667 (39.416)
Epoch: [0][520/794], lr: 0.00200	Time 3.242 (3.428)	Data 2.911 (1.450)	Loss 1.5079 (3.6289)	Prec@1 75.000 (20.266)	Prec@5 91.667 (40.083)
Epoch: [0][530/794], lr: 0.00200	Time 3.277 (3.425)	Data 2.938 (1.450)	Loss 2.6469 (3.6051)	Prec@1 33.333 (20.653)	Prec@5 75.000 (40.647)
Epoch: [0][540/794], lr: 0.00200	Time 3.256 (3.422)	Data 2.915 (1.450)	Loss 2.7005 (3.5814)	Prec@1 33.333 (21.057)	Prec@5 58.333 (41.189)
Epoch: [0][550/794], lr: 0.00200	Time 3.282 (3.420)	Data 2.944 (1.451)	Loss 2.5353 (3.5596)	Prec@1 33.333 (21.355)	Prec@5 75.000 (41.803)
Epoch: [0][560/794], lr: 0.00200	Time 3.267 (3.417)	Data 2.934 (1.451)	Loss 1.7331 (3.5337)	Prec@1 58.333 (21.895)	Prec@5 91.667 (42.409)
Epoch: [0][570/794], lr: 0.00200	Time 3.260 (3.415)	Data 2.921 (1.451)	Loss 1.0737 (3.5147)	Prec@1 75.000 (22.242)	Prec@5 100.000 (42.849)
Epoch: [0][580/794], lr: 0.00200	Time 3.254 (3.412)	Data 2.921 (1.451)	Loss 2.4020 (3.4902)	Prec@1 25.000 (22.562)	Prec@5 75.000 (43.431)
Epoch: [0][590/794], lr: 0.00200	Time 3.258 (3.409)	Data 2.923 (1.451)	Loss 2.5736 (3.4711)	Prec@1 25.000 (22.829)	Prec@5 66.667 (43.909)
Epoch: [0][600/794], lr: 0.00200	Time 3.256 (3.407)	Data 2.923 (1.452)	Loss 2.2819 (3.4538)	Prec@1 50.000 (23.059)	Prec@5 75.000 (44.384)
Epoch: [0][610/794], lr: 0.00200	Time 3.246 (3.404)	Data 2.909 (1.452)	Loss 1.9471 (3.4311)	Prec@1 50.000 (23.500)	Prec@5 91.667 (44.926)
Epoch: [0][620/794], lr: 0.00200	Time 3.256 (3.402)	Data 2.919 (1.452)	Loss 2.7020 (3.4134)	Prec@1 25.000 (23.739)	Prec@5 75.000 (45.357)
Epoch: [0][630/794], lr: 0.00200	Time 3.242 (3.399)	Data 2.911 (1.452)	Loss 2.1540 (3.3920)	Prec@1 33.333 (24.049)	Prec@5 91.667 (45.893)
Epoch: [0][640/794], lr: 0.00200	Time 3.246 (3.397)	Data 2.914 (1.452)	Loss 1.9822 (3.3702)	Prec@1 41.667 (24.402)	Prec@5 83.333 (46.412)
